starttime,tripduration
2020-06-02 00:00:14,333
2020-06-02 00:04:49,411
2020-06-02 00:11:54,402
2020-06-02 00:13:33,779
2020-06-02 00:13:37,616
2020-06-02 00:15:33,590
2020-06-02 00:18:15,2501
2020-06-02 00:18:20,2465
2020-06-02 00:18:28,2506
2020-06-02 00:24:24,5817
2020-06-02 00:24:24,6338
2020-06-02 00:26:48,442
2020-06-02 00:27:52,447
2020-06-02 00:30:02,197
2020-06-02 00:36:42,237
2020-06-02 00:39:14,1335
2020-06-02 00:46:48,1140
2020-06-02 00:51:43,1338
2020-06-02 00:52:06,1138
2020-06-02 00:52:21,3677
2020-06-02 00:52:30,3669
2020-06-02 00:53:41,3607
2020-06-02 00:54:13,3560
2020-06-02 01:19:34,426
2020-06-02 01:23:26,844
2020-06-02 01:29:04,1083
2020-06-02 01:29:17,1074
2020-06-02 01:32:32,802
2020-06-02 01:38:43,3173
2020-06-02 01:52:51,2873
2020-06-02 01:55:19,1057
2020-06-02 02:04:27,1049
2020-06-02 02:28:39,3318
2020-06-02 02:28:43,3317
2020-06-02 02:54:55,1181
2020-06-02 03:15:14,754
2020-06-02 03:15:30,1262
2020-06-02 03:15:34,731
2020-06-02 03:30:10,4030
2020-06-02 03:39:19,989
2020-06-02 03:39:25,938
2020-06-02 03:51:17,623
2020-06-02 03:57:56,19829
2020-06-02 03:58:11,1321
2020-06-02 04:02:33,1594
2020-06-02 04:03:04,318
2020-06-02 04:04:42,570
2020-06-02 04:10:11,2049
2020-06-02 04:36:04,643
2020-06-02 04:37:09,1108
2020-06-02 04:41:24,1018
2020-06-02 04:52:34,410
2020-06-02 04:55:47,430
2020-06-02 05:13:17,713
2020-06-02 05:17:23,489
2020-06-02 05:18:50,1722
2020-06-02 05:19:22,607
2020-06-02 05:24:18,3477
2020-06-02 05:25:38,985
2020-06-02 05:27:25,849
2020-06-02 05:33:55,2111
2020-06-02 05:34:21,182
2020-06-02 05:35:20,1094
2020-06-02 05:38:38,68
2020-06-02 05:40:12,1055
2020-06-02 05:40:20,1221
2020-06-02 05:40:50,2544
2020-06-02 05:42:17,416
2020-06-02 05:42:22,894
2020-06-02 05:42:33,1216
2020-06-02 05:42:34,325
2020-06-02 05:42:40,763
2020-06-02 05:44:19,336
2020-06-02 05:46:12,815
2020-06-02 05:46:29,160
2020-06-02 05:46:48,951
2020-06-02 05:48:32,2244
2020-06-02 05:49:41,1332
2020-06-02 05:50:04,748
2020-06-02 05:50:17,2075
2020-06-02 05:50:48,2128
2020-06-02 05:53:21,3160
2020-06-02 05:55:43,285
2020-06-02 05:56:03,134
2020-06-02 05:57:48,1908
2020-06-02 05:57:50,866
2020-06-02 05:58:00,549
2020-06-02 05:58:30,822
2020-06-02 05:58:46,262
2020-06-02 05:59:28,441
2020-06-02 06:00:08,2368
2020-06-02 06:00:48,107
2020-06-02 06:00:56,1232
2020-06-02 06:02:24,842
2020-06-02 06:04:33,1763
2020-06-02 06:04:50,1703
2020-06-02 06:06:38,2137
2020-06-02 06:08:22,1007
2020-06-02 06:11:39,2037
2020-06-02 06:12:24,1444
2020-06-02 06:12:29,632
2020-06-02 06:13:42,830
2020-06-02 06:14:21,226
2020-06-02 06:14:22,239
2020-06-02 06:14:30,358
2020-06-02 06:14:55,811
2020-06-02 06:15:56,647
2020-06-02 06:16:40,727
2020-06-02 06:16:50,995
2020-06-02 06:17:28,818
2020-06-02 06:17:32,1281
2020-06-02 06:18:24,320
2020-06-02 06:18:38,1637
2020-06-02 06:19:05,416
2020-06-02 06:20:04,1789
2020-06-02 06:20:24,785
2020-06-02 06:20:30,724
2020-06-02 06:20:36,719
2020-06-02 06:20:48,739
2020-06-02 06:21:07,1026
2020-06-02 06:21:25,1217
2020-06-02 06:21:28,1169
2020-06-02 06:22:38,733
2020-06-02 06:23:29,1158
2020-06-02 06:23:46,9447
2020-06-02 06:24:34,753
2020-06-02 06:25:43,787
2020-06-02 06:27:33,831
2020-06-02 06:27:51,874
2020-06-02 06:28:17,487
2020-06-02 06:28:19,1144
2020-06-02 06:29:02,1084
2020-06-02 06:29:07,720
2020-06-02 06:29:22,2506
2020-06-02 06:29:25,2730
2020-06-02 06:30:07,1387
2020-06-02 06:30:39,958
2020-06-02 06:30:59,1466
2020-06-02 06:31:53,1946
2020-06-02 06:33:07,2092
2020-06-02 06:34:01,196
2020-06-02 06:34:08,422
2020-06-02 06:35:37,1467
2020-06-02 06:36:04,341
2020-06-02 06:37:02,886
2020-06-02 06:38:40,457
2020-06-02 06:38:42,1457
2020-06-02 06:38:47,361
2020-06-02 06:40:02,553
2020-06-02 06:40:19,385
2020-06-02 06:40:24,1267
2020-06-02 06:40:40,689
2020-06-02 06:41:18,1847
2020-06-02 06:41:44,2412
2020-06-02 06:42:40,732
2020-06-02 06:42:53,1393
2020-06-02 06:43:02,757
2020-06-02 06:43:46,297
2020-06-02 06:43:51,595
2020-06-02 06:43:54,706
2020-06-02 06:44:36,2611
2020-06-02 06:45:04,663
2020-06-02 06:45:45,599
2020-06-02 06:46:19,943
2020-06-02 06:46:34,1302
2020-06-02 06:47:43,417
2020-06-02 06:48:12,764
2020-06-02 06:49:24,1374
2020-06-02 06:49:45,287
2020-06-02 06:49:55,573
2020-06-02 06:50:21,809
2020-06-02 06:51:23,668
2020-06-02 06:51:43,1022
2020-06-02 06:52:49,285
2020-06-02 06:54:11,684
2020-06-02 06:54:51,520
2020-06-02 06:55:47,1696
2020-06-02 06:55:59,1496
2020-06-02 06:56:07,278
2020-06-02 06:56:18,730
2020-06-02 06:56:29,979
2020-06-02 06:56:44,256
2020-06-02 06:56:49,289
2020-06-02 06:58:46,630
2020-06-02 06:59:38,393
2020-06-02 06:59:46,1598
2020-06-02 06:59:59,554
2020-06-02 07:00:03,2151
2020-06-02 07:00:36,948
2020-06-02 07:01:20,341
2020-06-02 07:02:27,962
2020-06-02 07:03:24,522
2020-06-02 07:03:25,7670
2020-06-02 07:03:58,411
2020-06-02 07:04:20,248
2020-06-02 07:04:45,876
2020-06-02 07:05:02,1122
2020-06-02 07:06:21,304
2020-06-02 07:07:50,343
2020-06-02 07:09:11,2553
2020-06-02 07:09:28,1450
2020-06-02 07:10:02,1622
2020-06-02 07:10:11,2885
2020-06-02 07:10:20,719
2020-06-02 07:10:29,209
2020-06-02 07:10:29,476
2020-06-02 07:10:41,1621
2020-06-02 07:11:36,1529
2020-06-02 07:12:48,682
2020-06-02 07:13:05,3095
2020-06-02 07:13:09,472
2020-06-02 07:13:25,850
2020-06-02 07:13:40,1740
2020-06-02 07:13:54,926
2020-06-02 07:14:24,700
2020-06-02 07:14:26,972
2020-06-02 07:14:32,511
2020-06-02 07:15:11,1099
2020-06-02 07:15:14,592
2020-06-02 07:16:16,742
2020-06-02 07:17:20,1433
2020-06-02 07:17:43,808
2020-06-02 07:18:29,1454
2020-06-02 07:18:29,939
2020-06-02 07:18:34,1466
2020-06-02 07:18:35,1923367
2020-06-02 07:18:35,576
2020-06-02 07:18:52,812
2020-06-02 07:19:09,740
2020-06-02 07:19:12,314
2020-06-02 07:19:26,2312
2020-06-02 07:19:50,1462
2020-06-02 07:19:59,569
2020-06-02 07:20:05,1272
2020-06-02 07:20:18,1375
2020-06-02 07:20:30,606
2020-06-02 07:20:34,1052
2020-06-02 07:20:49,1954
2020-06-02 07:21:03,2795
2020-06-02 07:22:04,1449
2020-06-02 07:22:09,465
2020-06-02 07:22:13,708
2020-06-02 07:22:16,515
2020-06-02 07:22:35,372
2020-06-02 07:22:44,582
2020-06-02 07:22:52,1487
2020-06-02 07:23:52,930
2020-06-02 07:23:56,1123
2020-06-02 07:24:27,2139
2020-06-02 07:24:34,245
2020-06-02 07:24:45,537
2020-06-02 07:24:50,1371
2020-06-02 07:24:56,1379
2020-06-02 07:26:31,163
2020-06-02 07:27:15,1033
2020-06-02 07:27:41,240
2020-06-02 07:28:18,700
2020-06-02 07:28:58,1285
2020-06-02 07:29:09,653
2020-06-02 07:29:13,405
2020-06-02 07:29:15,491
2020-06-02 07:29:23,1263
2020-06-02 07:29:33,1568
2020-06-02 07:29:38,1772
2020-06-02 07:30:18,1069
2020-06-02 07:30:19,1213
2020-06-02 07:30:20,1216
2020-06-02 07:30:20,430
2020-06-02 07:30:45,1025
2020-06-02 07:31:31,1244
2020-06-02 07:31:35,1099
2020-06-02 07:31:41,224
2020-06-02 07:31:55,1986
2020-06-02 07:32:11,633
2020-06-02 07:32:40,603
2020-06-02 07:33:24,910
2020-06-02 07:33:47,436
2020-06-02 07:33:55,779
2020-06-02 07:34:29,1377
2020-06-02 07:34:30,2182
2020-06-02 07:35:00,432
2020-06-02 07:35:45,791
2020-06-02 07:35:50,994
2020-06-02 07:36:16,666
2020-06-02 07:36:20,2045
2020-06-02 07:36:23,641
2020-06-02 07:36:30,793
2020-06-02 07:36:33,954
2020-06-02 07:36:35,581
2020-06-02 07:36:49,461
2020-06-02 07:37:17,775
2020-06-02 07:38:02,836
2020-06-02 07:38:12,814
2020-06-02 07:38:19,330
2020-06-02 07:39:07,347
2020-06-02 07:39:15,746
2020-06-02 07:39:16,316
2020-06-02 07:39:39,824
2020-06-02 07:39:47,368
2020-06-02 07:40:15,339
2020-06-02 07:40:19,1763
2020-06-02 07:40:26,1981
2020-06-02 07:40:35,734
2020-06-02 07:42:19,775
2020-06-02 07:42:21,383
2020-06-02 07:42:25,356
2020-06-02 07:43:33,1603
2020-06-02 07:43:46,6649
2020-06-02 07:44:05,1965
2020-06-02 07:44:07,1694
2020-06-02 07:44:19,575
2020-06-02 07:44:24,558
2020-06-02 07:44:37,997
2020-06-02 07:44:39,1465
2020-06-02 07:46:24,1423
2020-06-02 07:46:34,246
2020-06-02 07:46:35,825
2020-06-02 07:46:36,453
2020-06-02 07:46:48,206
2020-06-02 07:46:49,240
2020-06-02 07:47:10,977
2020-06-02 07:47:44,1139
2020-06-02 07:48:04,429
2020-06-02 07:48:27,344
2020-06-02 07:48:36,3666
2020-06-02 07:48:47,5719
2020-06-02 07:50:12,589
2020-06-02 07:50:13,1764
2020-06-02 07:50:27,762
2020-06-02 07:50:36,450
2020-06-02 07:51:14,1425
2020-06-02 07:52:05,597
2020-06-02 07:52:12,883
2020-06-02 07:52:23,288
2020-06-02 07:52:59,2397
2020-06-02 07:53:10,3972
2020-06-02 07:53:22,842
2020-06-02 07:53:23,3956
2020-06-02 07:53:48,1628
2020-06-02 07:53:50,760
2020-06-02 07:54:24,988
2020-06-02 07:54:45,467
2020-06-02 07:54:51,271
2020-06-02 07:55:32,999
2020-06-02 07:55:48,633
2020-06-02 07:55:53,474
2020-06-02 07:56:03,595
2020-06-02 07:56:20,2640
2020-06-02 07:56:27,2510
2020-06-02 07:56:42,431
2020-06-02 07:56:55,1273
2020-06-02 07:57:04,223
2020-06-02 07:57:15,211
2020-06-02 07:57:15,1021
2020-06-02 07:57:17,601
2020-06-02 07:57:56,431
2020-06-02 07:58:23,1712
2020-06-02 07:58:29,808
2020-06-02 07:59:21,170
2020-06-02 08:00:03,671
2020-06-02 08:00:17,1762
2020-06-02 08:00:22,1219
2020-06-02 08:00:42,937
2020-06-02 08:00:44,1801
2020-06-02 08:02:06,1070
2020-06-02 08:02:06,1414
2020-06-02 08:02:14,650
2020-06-02 08:02:19,717
2020-06-02 08:02:25,304
2020-06-02 08:02:49,1181
2020-06-02 08:03:31,468
2020-06-02 08:03:53,1035
2020-06-02 08:04:21,662
2020-06-02 08:04:26,876
2020-06-02 08:04:51,3216
2020-06-02 08:05:03,1498
2020-06-02 08:05:42,323
2020-06-02 08:06:10,2068
2020-06-02 08:06:22,759
2020-06-02 08:06:32,1048
2020-06-02 08:06:33,1240
2020-06-02 08:06:44,1202
2020-06-02 08:07:00,356
2020-06-02 08:07:18,513
2020-06-02 08:08:18,962
2020-06-02 08:08:29,1774
2020-06-02 08:08:30,1434
2020-06-02 08:08:40,1422
2020-06-02 08:08:45,697
2020-06-02 08:09:03,587
2020-06-02 08:09:12,1465
2020-06-02 08:09:18,1429
2020-06-02 08:09:20,562
2020-06-02 08:09:49,359
2020-06-02 08:11:14,1148
2020-06-02 08:11:42,2099
2020-06-02 08:12:39,1557
2020-06-02 08:12:50,499
2020-06-02 08:12:56,658
2020-06-02 08:13:00,1487
2020-06-02 08:13:06,1833
2020-06-02 08:13:15,786
2020-06-02 08:13:16,246
2020-06-02 08:13:22,556
2020-06-02 08:13:24,481
2020-06-02 08:13:47,1042
2020-06-02 08:13:54,798
2020-06-02 08:14:19,1241
2020-06-02 08:14:22,831
2020-06-02 08:14:45,496
2020-06-02 08:15:11,417
2020-06-02 08:15:42,974
2020-06-02 08:16:25,4504
2020-06-02 08:16:28,3234
2020-06-02 08:16:29,4501
2020-06-02 08:16:35,749
2020-06-02 08:16:37,1172
2020-06-02 08:16:59,3169
2020-06-02 08:17:14,1341
2020-06-02 08:17:27,1548
2020-06-02 08:17:32,1367
2020-06-02 08:17:43,1675
2020-06-02 08:17:53,520
2020-06-02 08:18:03,639
2020-06-02 08:18:17,1213
2020-06-02 08:18:25,1490
2020-06-02 08:18:39,595
2020-06-02 08:18:47,1533
2020-06-02 08:19:53,362
2020-06-02 08:19:55,1396
2020-06-02 08:19:55,323
2020-06-02 08:20:04,251
2020-06-02 08:20:43,1300
2020-06-02 08:20:48,520
2020-06-02 08:21:03,471
2020-06-02 08:22:16,680
2020-06-02 08:22:32,1024
2020-06-02 08:22:48,1344
2020-06-02 08:22:55,617
2020-06-02 08:22:57,639
2020-06-02 08:23:01,797
2020-06-02 08:23:18,453
2020-06-02 08:24:02,925
2020-06-02 08:24:08,1113
2020-06-02 08:24:30,924
2020-06-02 08:24:35,1017
2020-06-02 08:24:59,3447
2020-06-02 08:25:59,1491
2020-06-02 08:27:08,958
2020-06-02 08:27:47,338
2020-06-02 08:28:08,632
2020-06-02 08:28:42,753
2020-06-02 08:29:36,564
2020-06-02 08:29:45,810
2020-06-02 08:29:46,703
2020-06-02 08:29:49,650
2020-06-02 08:30:05,700
2020-06-02 08:30:14,295
2020-06-02 08:30:19,794
2020-06-02 08:30:33,448
2020-06-02 08:30:41,657
2020-06-02 08:30:53,487
2020-06-02 08:31:07,826
2020-06-02 08:31:41,934
2020-06-02 08:31:47,1293
2020-06-02 08:32:33,1056
2020-06-02 08:32:44,1156
2020-06-02 08:32:54,949
