starttime,tripduration
2019-12-03 00:07:42,158
2019-12-03 00:08:04,397
2019-12-03 00:11:22,1005
2019-12-03 00:11:27,132
2019-12-03 00:13:27,370
2019-12-03 00:14:45,650
2019-12-03 00:20:06,499
2019-12-03 00:21:10,569
2019-12-03 00:21:38,542
2019-12-03 00:36:07,549
2019-12-03 00:42:47,19552
2019-12-03 01:07:06,344
2019-12-03 01:28:55,1161
2019-12-03 01:42:15,1568
2019-12-03 01:47:05,472
2019-12-03 02:13:37,855
2019-12-03 02:33:42,1599
2019-12-03 03:00:31,654
2019-12-03 03:22:14,1426
2019-12-03 03:52:13,1061
2019-12-03 04:05:41,341
2019-12-03 04:46:18,297
2019-12-03 04:47:32,714
2019-12-03 04:48:43,1780
2019-12-03 05:28:28,171
2019-12-03 05:30:13,1202
2019-12-03 05:32:05,675
2019-12-03 05:33:19,2031
2019-12-03 05:37:47,511
2019-12-03 05:37:51,578
2019-12-03 05:42:30,701
2019-12-03 05:46:04,489
2019-12-03 05:55:08,535
2019-12-03 05:57:53,718
2019-12-03 06:00:38,1293
2019-12-03 06:05:46,255
2019-12-03 06:06:53,1945
2019-12-03 06:08:27,1129
2019-12-03 06:08:28,305
2019-12-03 06:10:16,1847
2019-12-03 06:13:47,1007
2019-12-03 06:14:11,1208
2019-12-03 06:15:48,467
2019-12-03 06:16:30,349
2019-12-03 06:18:34,483
2019-12-03 06:20:35,896
2019-12-03 06:31:40,1116
2019-12-03 06:34:45,1445
2019-12-03 06:35:58,401
2019-12-03 06:36:03,1819
2019-12-03 06:40:17,225
2019-12-03 06:41:17,985
2019-12-03 06:42:45,42751
2019-12-03 06:42:47,480
2019-12-03 06:44:32,728
2019-12-03 06:46:20,761
2019-12-03 06:47:07,371
2019-12-03 06:48:43,1062
2019-12-03 06:52:11,366
2019-12-03 06:57:13,545
2019-12-03 06:59:31,769
2019-12-03 07:00:36,782
2019-12-03 07:00:54,723
2019-12-03 07:02:54,837
2019-12-03 07:03:07,648
2019-12-03 07:04:48,1424
2019-12-03 07:05:44,260
2019-12-03 07:06:32,764
2019-12-03 07:06:51,722
2019-12-03 07:06:52,1109
2019-12-03 07:08:13,2054
2019-12-03 07:08:16,595
2019-12-03 07:08:23,579
2019-12-03 07:11:06,368
2019-12-03 07:14:57,103374
2019-12-03 07:16:21,1248
2019-12-03 07:18:43,185
2019-12-03 07:19:16,2248
2019-12-03 07:19:34,311
2019-12-03 07:19:59,753
2019-12-03 07:20:40,300
2019-12-03 07:22:21,689
2019-12-03 07:24:22,1445
2019-12-03 07:24:29,535
2019-12-03 07:27:32,1265
2019-12-03 07:28:57,517
2019-12-03 07:30:00,666
2019-12-03 07:31:55,261
2019-12-03 07:34:54,485
2019-12-03 07:36:22,110
2019-12-03 07:37:26,522
2019-12-03 07:39:12,527
2019-12-03 07:39:21,1112
2019-12-03 07:39:36,205
2019-12-03 07:41:39,789
2019-12-03 07:41:50,473
2019-12-03 07:41:53,944
2019-12-03 07:42:09,871
2019-12-03 07:44:25,763
2019-12-03 07:44:55,581
2019-12-03 07:46:17,935
2019-12-03 07:46:28,745
2019-12-03 07:46:54,1056
2019-12-03 07:48:20,251
2019-12-03 07:48:41,417
2019-12-03 07:49:35,877
2019-12-03 07:49:55,495
2019-12-03 07:50:06,596
2019-12-03 07:52:43,1205
2019-12-03 07:54:08,884
2019-12-03 07:54:24,648
2019-12-03 07:54:35,924
2019-12-03 07:55:22,654
2019-12-03 07:56:20,1031
2019-12-03 07:56:56,486
2019-12-03 07:57:34,411
2019-12-03 07:57:54,822
2019-12-03 07:58:39,1231
2019-12-03 07:58:40,530
2019-12-03 07:59:17,1149
2019-12-03 07:59:41,1966
2019-12-03 08:00:08,681
2019-12-03 08:01:04,1223
2019-12-03 08:01:22,1865
2019-12-03 08:02:52,1820
2019-12-03 08:03:50,1389
2019-12-03 08:04:19,404
2019-12-03 08:04:23,456
2019-12-03 08:06:20,489
2019-12-03 08:06:23,983
2019-12-03 08:07:18,443
2019-12-03 08:07:49,1977
2019-12-03 08:08:19,325
2019-12-03 08:08:19,321
2019-12-03 08:11:25,1559
2019-12-03 08:11:40,1104
2019-12-03 08:11:55,1380
2019-12-03 08:13:53,594
2019-12-03 08:14:05,233
2019-12-03 08:15:30,432
2019-12-03 08:16:53,987
2019-12-03 08:18:40,2178
2019-12-03 08:18:42,1720
2019-12-03 08:18:56,328
2019-12-03 08:19:45,706
2019-12-03 08:20:30,369
2019-12-03 08:20:46,179
2019-12-03 08:21:45,1447
2019-12-03 08:22:46,1515
2019-12-03 08:23:02,1292
2019-12-03 08:23:42,2507
2019-12-03 08:23:45,263
2019-12-03 08:24:40,1616
2019-12-03 08:24:42,183
2019-12-03 08:24:56,1492
2019-12-03 08:25:28,628
2019-12-03 08:25:42,1802
2019-12-03 08:26:04,1707
2019-12-03 08:27:36,624
2019-12-03 08:28:23,919
2019-12-03 08:29:47,760
2019-12-03 08:29:47,399
2019-12-03 08:30:09,354
2019-12-03 08:30:58,1864
