starttime,tripduration
2020-09-01 05:26:00,579
2020-09-01 05:29:00,579
2020-09-01 05:30:00,463
2020-09-01 05:30:00,335
2020-09-01 05:30:00,444
2020-09-01 05:34:00,993
2020-09-01 05:35:00,2024
2020-09-01 05:36:00,629
2020-09-01 05:36:00,328
2020-09-01 05:36:00,522
2020-09-01 05:37:00,483
2020-09-01 05:37:00,556
2020-09-01 05:38:00,462
2020-09-01 05:38:00,487
2020-09-01 05:39:00,1305
2020-09-01 05:39:00,832
2020-09-01 05:40:00,1650
2020-09-01 05:40:00,482
2020-09-01 05:41:00,620
2020-09-01 05:41:00,602
2020-09-01 05:41:00,950
2020-09-01 05:42:00,568
2020-09-01 05:42:00,358
2020-09-01 05:43:00,942
2020-09-01 05:43:00,975
2020-09-01 05:43:00,703
2020-09-01 05:43:00,266
2020-09-01 05:44:00,346
2020-09-01 05:45:00,194
2020-09-01 05:46:00,766
2020-09-01 05:46:00,1239
2020-09-01 05:47:00,282
2020-09-01 05:47:00,306
2020-09-01 05:47:00,159
2020-09-01 05:47:00,838
2020-09-01 05:47:00,684
2020-09-01 05:48:00,751
2020-09-01 05:48:00,866
2020-09-01 05:49:00,334
2020-09-01 05:49:00,2862
2020-09-01 05:49:00,1111
2020-09-01 05:49:00,755
2020-09-01 05:52:00,162
2020-09-01 05:52:00,305
2020-09-01 05:52:00,183
2020-09-01 05:52:00,945
2020-09-01 05:53:00,535
2020-09-01 05:54:00,1346
2020-09-01 05:54:00,203
2020-09-01 05:54:00,1713
2020-09-01 05:55:00,89
2020-09-01 05:56:00,362
2020-09-01 05:56:00,246
2020-09-01 05:57:00,642
2020-09-01 05:58:00,495
2020-09-01 05:58:00,191
2020-09-01 06:00:00,899
2020-09-01 06:00:00,1585
2020-09-01 06:00:00,405
2020-09-01 06:01:00,677
2020-09-01 06:01:00,323
2020-09-01 06:02:00,583
2020-09-01 06:02:00,683
2020-09-01 06:02:00,544
2020-09-01 06:02:00,831
2020-09-01 06:02:00,1032
2020-09-01 06:02:00,616
2020-09-01 06:03:00,2292
2020-09-01 06:03:00,1328
2020-09-01 06:04:00,1095
2020-09-01 06:04:00,969
2020-09-01 06:04:00,568
2020-09-01 06:05:00,658
2020-09-01 06:06:00,1739
2020-09-01 06:06:00,910
2020-09-01 06:06:00,472
2020-09-01 06:07:00,321
2020-09-01 06:07:00,709
2020-09-01 06:07:00,1036
2020-09-01 06:08:00,1234
2020-09-01 06:09:00,3178
2020-09-01 06:09:00,440
2020-09-01 06:09:00,783
2020-09-01 06:09:00,656
2020-09-01 06:10:00,735
2020-09-01 06:10:00,1525
2020-09-01 06:10:00,899
2020-09-01 06:10:00,777
2020-09-01 06:11:00,394
2020-09-01 06:11:00,361
2020-09-01 06:11:00,704
2020-09-01 06:11:00,523
2020-09-01 06:12:00,713
2020-09-01 06:12:00,1069
2020-09-01 06:12:00,1352
2020-09-01 06:12:00,1429
2020-09-01 06:13:00,421
2020-09-01 06:13:00,1443
2020-09-01 06:14:00,679
2020-09-01 06:14:00,843
2020-09-01 06:14:00,1648
