starttime,tripduration
2020-03-03 00:00:13,1191
2020-03-03 00:01:12,1855
2020-03-03 00:01:17,1121
2020-03-03 00:01:24,1063
2020-03-03 00:01:49,1302
2020-03-03 00:07:21,639
2020-03-03 00:08:21,1107
2020-03-03 00:11:13,1129
2020-03-03 00:11:22,972
2020-03-03 00:11:48,889
2020-03-03 00:12:25,1023
2020-03-03 00:13:26,546
2020-03-03 00:17:47,254
2020-03-03 00:20:25,390
2020-03-03 00:22:33,634
2020-03-03 00:29:15,748
2020-03-03 00:45:09,111
2020-03-03 00:50:44,138
2020-03-03 01:00:31,290
2020-03-03 01:02:35,359
2020-03-03 01:04:00,690
2020-03-03 01:07:29,473
2020-03-03 01:09:35,201
2020-03-03 01:26:02,1465
2020-03-03 01:27:03,1900
2020-03-03 01:27:16,5062
2020-03-03 01:27:24,5072
2020-03-03 01:27:41,1008
2020-03-03 01:30:11,522
2020-03-03 01:40:11,290
2020-03-03 01:50:09,220
2020-03-03 01:54:08,264
2020-03-03 01:58:12,1123
2020-03-03 02:02:48,375
2020-03-03 02:06:30,1406
2020-03-03 02:38:52,262
2020-03-03 02:45:01,2523
2020-03-03 02:53:31,668
2020-03-03 02:54:49,681
2020-03-03 02:57:47,732
2020-03-03 03:04:47,3347
2020-03-03 03:04:53,3359
2020-03-03 03:04:55,3333
2020-03-03 03:04:58,3332
2020-03-03 03:05:10,3308
2020-03-03 03:35:56,2280
2020-03-03 03:45:35,2129
2020-03-03 04:09:36,1091
2020-03-03 04:28:50,306
2020-03-03 04:29:03,1540
2020-03-03 04:33:22,614
2020-03-03 04:58:50,235
2020-03-03 05:00:27,2535
2020-03-03 05:00:50,5050
2020-03-03 05:02:43,505
2020-03-03 05:03:26,445
2020-03-03 05:03:58,181
2020-03-03 05:04:45,407
2020-03-03 05:09:07,803
2020-03-03 05:14:36,550
2020-03-03 05:16:55,387
2020-03-03 05:20:26,455
2020-03-03 05:24:01,1211
2020-03-03 05:25:38,397
2020-03-03 05:26:45,1609
2020-03-03 05:27:22,1443
2020-03-03 05:28:51,523
2020-03-03 05:29:20,1312
2020-03-03 05:31:30,540
2020-03-03 05:31:49,145
2020-03-03 05:32:32,295
2020-03-03 05:33:33,514
2020-03-03 05:34:37,463
2020-03-03 05:34:41,2439
2020-03-03 05:35:42,777
2020-03-03 05:36:34,479
2020-03-03 05:38:24,671
2020-03-03 05:38:49,731
2020-03-03 05:39:08,201
2020-03-03 05:40:13,445
2020-03-03 05:40:38,930
2020-03-03 05:41:10,122
2020-03-03 05:42:15,242
2020-03-03 05:42:20,544
2020-03-03 05:43:11,179
2020-03-03 05:43:43,323
2020-03-03 05:44:46,1203
2020-03-03 05:46:21,325
2020-03-03 05:46:32,907
2020-03-03 05:46:52,748
2020-03-03 05:48:29,1752
2020-03-03 05:49:32,1667
2020-03-03 05:50:10,1481
2020-03-03 05:52:34,274
2020-03-03 05:53:07,552
2020-03-03 05:53:50,287
2020-03-03 05:54:41,1078
2020-03-03 05:55:36,266
2020-03-03 05:55:55,242
2020-03-03 05:56:52,185
2020-03-03 05:58:38,391
2020-03-03 06:00:49,457
2020-03-03 06:02:02,605
2020-03-03 06:02:46,175
2020-03-03 06:03:02,217
2020-03-03 06:04:19,168
2020-03-03 06:05:23,187
2020-03-03 06:05:52,1109
2020-03-03 06:05:56,148
2020-03-03 06:07:10,132
2020-03-03 06:07:23,515
2020-03-03 06:07:25,375
2020-03-03 06:08:19,521
2020-03-03 06:08:45,336
2020-03-03 06:09:09,368
2020-03-03 06:09:26,212
2020-03-03 06:10:10,924
2020-03-03 06:10:48,754
2020-03-03 06:10:54,240
2020-03-03 06:11:32,2433
2020-03-03 06:13:02,258
2020-03-03 06:14:01,626
2020-03-03 06:15:04,592
2020-03-03 06:15:11,526
2020-03-03 06:15:12,376
2020-03-03 06:15:35,270
2020-03-03 06:15:52,317
2020-03-03 06:16:24,688
2020-03-03 06:17:01,478
2020-03-03 06:17:01,367
2020-03-03 06:17:10,1063
2020-03-03 06:17:40,857
2020-03-03 06:18:21,974
2020-03-03 06:18:34,1131
2020-03-03 06:18:43,95
2020-03-03 06:18:56,310
2020-03-03 06:18:59,802
2020-03-03 06:21:42,531
2020-03-03 06:21:52,1139
2020-03-03 06:21:58,503
2020-03-03 06:22:56,1654
2020-03-03 06:22:58,1151
2020-03-03 06:23:27,1513
2020-03-03 06:23:52,461
2020-03-03 06:24:10,1413
2020-03-03 06:24:38,331
2020-03-03 06:24:40,253
2020-03-03 06:24:56,237
2020-03-03 06:24:57,717
2020-03-03 06:25:20,1004
2020-03-03 06:25:34,805
2020-03-03 06:26:18,804
2020-03-03 06:26:33,929
2020-03-03 06:27:04,284
2020-03-03 06:27:28,650
2020-03-03 06:27:33,724
2020-03-03 06:27:51,599
2020-03-03 06:28:30,264
2020-03-03 06:28:51,990
2020-03-03 06:30:03,563
2020-03-03 06:30:10,383
2020-03-03 06:30:11,167
2020-03-03 06:30:57,982
2020-03-03 06:31:20,665
2020-03-03 06:32:13,966
2020-03-03 06:34:02,1451
2020-03-03 06:34:19,629
2020-03-03 06:34:45,1409
2020-03-03 06:36:09,639
2020-03-03 06:36:15,773
2020-03-03 06:36:15,221
2020-03-03 06:37:10,356
2020-03-03 06:37:11,417
2020-03-03 06:37:45,1329
2020-03-03 06:37:55,451
2020-03-03 06:38:08,305
2020-03-03 06:38:10,1073
2020-03-03 06:38:48,437
2020-03-03 06:39:11,956
2020-03-03 06:39:26,287
2020-03-03 06:39:27,435
2020-03-03 06:39:41,493
2020-03-03 06:40:13,307
2020-03-03 06:40:14,963
2020-03-03 06:40:17,538
2020-03-03 06:40:19,191
2020-03-03 06:40:24,894
2020-03-03 06:40:25,847
2020-03-03 06:40:33,1647
2020-03-03 06:40:45,991
2020-03-03 06:40:50,340
2020-03-03 06:40:56,834
2020-03-03 06:40:58,589
2020-03-03 06:41:00,1282
2020-03-03 06:41:08,222
2020-03-03 06:41:25,1607
2020-03-03 06:41:58,320
2020-03-03 06:42:14,253
2020-03-03 06:42:17,220
2020-03-03 06:42:41,720
2020-03-03 06:42:49,371
2020-03-03 06:42:54,510
2020-03-03 06:43:00,968
2020-03-03 06:43:10,861
2020-03-03 06:43:24,583
2020-03-03 06:43:33,681
2020-03-03 06:43:56,630
2020-03-03 06:44:12,448
2020-03-03 06:44:27,327
2020-03-03 06:44:30,429
2020-03-03 06:44:42,570
2020-03-03 06:44:45,905
2020-03-03 06:45:24,715
2020-03-03 06:45:32,422
2020-03-03 06:45:59,374
2020-03-03 06:46:00,1832
2020-03-03 06:46:39,860
2020-03-03 06:46:43,531
2020-03-03 06:46:54,676
2020-03-03 06:47:01,272
2020-03-03 06:47:30,323
